ORDER_NUMBER,ORDER_DATE_TIME,SKU,PRODUCT_NAME,BARCODE,QTY,PRODUCT_CAT,WEIGHT_OZ,PRODUCT_INSTRUCTIONS,IMAGES,FIRST_NAME,LAST_NAME,EMAIL,ADDRESS_1,ADDRESS_2,CITY,STATE,POSTAL_CODE,COUNTRY,SHIPPING_METHOD,ORDER_TOTAL,CUSTOMER_COMMENTS,INTERNAL_NOTES,NOTES2PACKER,TRRACKING_NO,SKU_2,BARCODE_2,
005,2014-01-10 13:12:22,K.IS.M ,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/P2V2FrontView.jpg?v=1416810388,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,,,,
005,2014-01-10 13:12:22,K.AS1.M ,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Phantom_2_Vision_-20140303_1718.JPG?v=1416633029,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,,,,
005,2014-01-10 13:12:22,K.AS2.M,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/51SIhgH8B2L._SL1000.jpg?v=1417124076,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,,,,
006,2014-01-10 13:12:22,R.S-REMOVEPART ,,,6,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/bt200_13.jpg?v=1416633433,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,Add 4 x R.S-ADDPART006 and remove 4 x R.S-REMOVEPART ,,,,
007,2014-01-10 13:12:22,R.S-2BALIASED2R ,Alias to R.S-MASTER ,,2,,,Choose: Make this product an alias of another product and select R.S-MASTER,https://cdn.shopify.com/s/files/1/0469/7993/products/FrontView.jpg?v=1421791342,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,"ACTION REQUIRED - 2BALIASED items will be New, they will get aliased to MASTER products - should stay 0",,,,
007,2014-01-10 13:12:22,R.S-2BALIASED2K ,Make this product an alias of K.AS2-MASTER (kit) ,,2,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/pearl2.jpg?v=1422406960,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,"ACTION REQUIRED - 2BALIASED items will be New, they will get aliased to MASTER products - should stay 0",,,,
008,2014-01-10 13:12:22,R.SKIPABLE ,,R.ADD2ANY,1,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435_d8462d2b-60c5-44a6-b0d9-854d597d11dd.jpg?v=1417470234,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,,Attemting2add_R.ADD2ANY_duplicate_UPC_in_ORDERcsv,R.ADD2ANY,
008,2014-01-10 13:12:22,R.INTANGIBLE.SEARCH ,Intangible Search,R.INTANGIBLE.SEARCH ,1,Intangible Category (order import),1,The intangible search string option should enable the intangible option for this item.,https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435_d8462d2b-60c5-44a6-b0d9-854d597d11dd.jpg?v=1417470234,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(wink),Don't believe everything you think.,Scan 2 x R.ADD2ANY and use SKIP code to skip R.SKIPABLE - Verify that no R.INTANGIBLE items appear. ,,,,
008,2014-01-10 13:12:22,R.INTANGIBLE.SWITCH ,Intangible Switch,R.INTANGIBLE.SWITCH ,1,Intangible Category (order import),1,Enable the “Intangible Item” option for this item.,https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435_d8462d2b-60c5-44a6-b0d9-854d597d11dd.jpg?v=1417470234,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(wink),Don't believe everything you think.,Scan 2 x R.ADD2ANY and use SKIP code to skip R.SKIPABLE - Verify that no R.INTANGIBLE items appear. ,,,,
009,2014-01-10 13:12:22,ON_THE_FLY,Yay! Created during Order Import,ON_THE_FLY_UPC_1,2,By Order Import,88,Product Created by Order Import,https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435_d8462d2b-60c5-44a6-b0d9-854d597d11dd.jpg?v=1417470234,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(wink),Don't believe everything you think.,,88888888,ON_THE_FLY_SKU_2,ON_THE_FLY_UPC_2,
009,2014-01-10 13:12:22,P-IMPORT,O-IMPORT,O-IMPORT,22,O-IMPORT,88,"Created by Order Import – Fields should show P-IMPORT  (order imports will not overwrite product data, product import 3 will overwrite data entered by order import)",https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435_d8462d2b-60c5-44a6-b0d9-854d597d11dd.jpg?v=1417470234,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(wink),Don't believe everything you think.,,88888888,O-IMPORT,O-IMPORT,O-IMPORT
